"Triebzug­nummer, Namens­gebung","Indienst­stellung
 Redesign
(Aktueller Status)",Auslands­zulassungen und Beson­derheiten,Umbauten oder Umrüstungen,"Unfälle oder besondere Vorkommnisse
 Allgemeine Bemerkungen"
Tz 9238,Februar 2021,"Österreich, Schweiz",,"Reserveendwagen zum künftigen Tausch für beschädigte Endwagen, bestehend nur aus den Wagen 6812 238 und 7812 238."
Tz 9451,8. Juli 2020,"Schweiz, Österreich,
265 km/h",Endwagen 0812 094 (vom Tz 9494) anstelle von 0812 051 (seit 26. Dezember 2025),"Vorserieneinheit, dreizehnteilig – ab März 2019 für Zulassungsfahrten von Siemens in Betrieb genommen,
seit 16. August 2021 im Fahrgasteinsatz.
Am 15. Dezember 2025 hat ein Fahrgast einen Brand in der Zugtoilette von Wagen 1 verursacht. Dadurch musste der Zug im Bahnhof Gotha evakuiert werden. Es entstand ein Sachschaden von mindestens 10.000 Euro. In der Folge wurde der beschädigte Endwagen durch einen Endwagen eines anderen Triebzuges ersetzt."
Tz 9452,6. Januar 2021,"Schweiz, Österreich,
265 km/h",,"erster dreizehnteiliger Serienzug, erste Fahrt am 20. Februar 2021 als ICE 2957 Berlin–Basel"
Tz 9453,27. Januar 2021,"Schweiz, Österreich,
265 km/h",,erste Fahrt am 6. März 2021 als ICE 2959 Berlin–Frankfurt–Stuttgart–München
Tz 9454,17. Februar 2021,"Schweiz, Österreich,
265 km/h",,Abnahmefahrt am 22. März 2021 (Köln–Frankfurt–Leipzig)
Tz 9455,8. März 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9456,22. März 2021,"Schweiz, Österreich,
265 km/h",,
"Tz 9457
Bundesrepublik Deutschland
(seit 8. Juni 2021)",6. April 2021,"Schweiz, Österreich,
265 km/h",,"Dieser Triebzug wurde am 8. Juni 2021 in Anwesenheit von Bundespräsident Frank-Walter Steinmeier auf den Namen „Bundesrepublik Deutschland“ getauft; er besitzt einen durchgängigen schwarz-rot-goldenen Streifen und besitzt eine leicht veränderte Innenausstattung. Dazu gehören in beiden Endwagen Metallelemente mit der Schrift „ICE Bundesrepublik Deutschland“ sowie Kopfkissen an den Sitzen mit selbiger Aufschrift. Die restlichen Mittelwagen wurden Mitte August 2021 den Endwagen angepasst und erhielten auch einen Zierstreifen in Schwarz-Rot-Gold. Der Triebzug wurde am 9. Dezember 2022 für die Sonderfahrt mit geladenen Gästen und Gewinnern eines Gewinnspiels auf der Schnellfahrstrecke Wendlingen–Ulm als Premierenzug eingesetzt. Auch am 10. Dezember 2022 wurden weitere Sonderfahrten damit durchgeführt, bevor die Strecke offiziell am 11. Dezember 2022 für den Fahrgastbetrieb im Regelverkehr freigegeben wurde. Der Triebzug wurde dabei mit einer Sonderbeklebung an beiden Enden versehen.
Anlässlich des Staatsbesuchs des britischen Königspaares von Charles III. und Camilla in Berlin und Hamburg, fuhren am 31. März 2023 beide in Begleitung von Bundespräsident Frank-Walter Steinmeier und dessen Ehefrau mit ICE 804 von Berlin nach Hamburg-Dammtor. Für diesen Anlass wurde der Triebzug 9457 „Bundesrepublik Deutschland“ auf dieser Zugfahrt eingesetzt."
Tz 9458,21. April 2021,"Schweiz, Österreich,
265 km/h",,
Tz 9459,3. Mai 2021,"Schweiz, Österreich,
265 km/h",ohne Wagen 2412 559 (1. Oktober 2023 bis 24. Februar 2024),
